2009,2010,2011,2012,2013,2014,2015
0,0,0,0,0,0,0
3584832,3412916,3953553,3920624,3718693,3698224,4020370
3003322,2921361,2853492,2753995,3192435,3193860,2972865
1991780,2037377,1884014,1722176,1571694,1503814,1232185
2899558,2791424,2939524,2809802,2636281,2720202,2220398
4643497,4840500,4436287,3960523,3964163,3799755,3135352
4371603,3945227,3570599,3563799,3553372,3356819,3414470
1429409,1396695,1108883,1303999,1481393,1355708,1289255
2116430,2323038,2247404,1904717,1846278,1861760,1679783
4489862,4301308,4658047,4860870,4774703,5217613,5326422
3453599,3405631,3599231,4071361,3862431,4269008,4282245
2421690,2272950,2097094,1920029,1711707,1682943,1263254
3301856,3354650,3297338,2700944,2819030,2795474,2491104
5679709,5553212,5453418,4946903,4925034,4665527,3739790
4459200,4097477,4216604,4220260,3986865,3529044,3476146
1551663,1330339,1534053,1360757,1420461,1676562,1525763
2803485,2521833,2592577,2677383,2609613,2562522,1902137
7331030,7405014,7528642,7618302,7985195,8819869,9235798
6322128,6833307,6655938,6589761,6562290,6491120,6540624
3374865,3034135,2762980,2545300,2127424,2201722,1783610
4561633,4263921,4428750,4514977,4540149,4584390,3966163
8355360,8670650,8188340,7623021,7250657,7375626,7015909
7212226,6981645,7267377,6988757,6696029,6296294,6204177
1715212,1526332,2000060,1994241,1660425,1322918,1497121
4016210,3827461,3427430,3350353,3170938,2993969,2813241
5045999,5234249,4892579,4732588,5074996,5399702,6168926
3750135,3513410,3577545,4089461,4030379,4409592,4954853
1980476,1944061,1811712,2085993,1831158,1263257,1484187
3312914,3212340,3079409,2865644,2495620,2652268,2650835
4713056,4887631,4780916,4619642,4342738,4300122,4120736
4167780,4223931,4260242,4085501,3662898,3977018,3598828
1216008,1211390,1103858,976961,955566,1290247,1229305
2250356,2222363,2197579,2131994,2203327,1890885,1590303
